provcd,province,year,share_p2010,robot_density_t,bartik_pt
1,上海,2013,0.152821,25,3.8205250000000004
1,上海,2015,0.152821,49,7.4882290000000005
1,上海,2016,0.152821,68,10.391828
1,上海,2018,0.152821,140,21.394940000000002
1,上海,2020,0.152821,246,37.593966
1,上海,2021,0.152821,322,49.208362
1,上海,2022,0.152821,402,61.434042000000005
1,上海,2023,0.152821,470,71.82587000000001
2,云南,2013,0.020907,25,0.522675
2,云南,2015,0.020907,49,1.024443
2,云南,2016,0.020907,68,1.421676
2,云南,2018,0.020907,140,2.92698
2,云南,2020,0.020907,246,5.143122
2,云南,2021,0.020907,322,6.732054
2,云南,2022,0.020907,402,8.404613999999999
2,云南,2023,0.020907,470,9.826289999999998
3,内蒙古,2013,0.031443,25,0.786075
3,内蒙古,2015,0.031443,49,1.5407069999999998
3,内蒙古,2016,0.031443,68,2.138124
3,内蒙古,2018,0.031443,140,4.40202
3,内蒙古,2020,0.031443,246,7.734978
3,内蒙古,2021,0.031443,322,10.124646
3,内蒙古,2022,0.031443,402,12.640086
3,内蒙古,2023,0.031443,470,14.77821
4,北京,2013,0.076313,25,1.907825
4,北京,2015,0.076313,49,3.7393370000000004
4,北京,2016,0.076313,68,5.189284000000001
4,北京,2018,0.076313,140,10.68382
4,北京,2020,0.076313,246,18.772998
4,北京,2021,0.076313,322,24.572786
4,北京,2022,0.076313,402,30.677826000000003
4,北京,2023,0.076313,470,35.867110000000004
5,吉林,2013,0.048667,25,1.216675
5,吉林,2015,0.048667,49,2.384683
5,吉林,2016,0.048667,68,3.309356
5,吉林,2018,0.048667,140,6.81338
5,吉林,2020,0.048667,246,11.972082
5,吉林,2021,0.048667,322,15.670774
5,吉林,2022,0.048667,402,19.564134
5,吉林,2023,0.048667,470,22.87349
6,四川,2013,0.024853,25,0.621325
6,四川,2015,0.024853,49,1.217797
6,四川,2016,0.024853,68,1.690004
6,四川,2018,0.024853,140,3.47942
6,四川,2020,0.024853,246,6.113838
6,四川,2021,0.024853,322,8.002666
6,四川,2022,0.024853,402,9.990906
6,四川,2023,0.024853,470,11.68091
7,天津,2013,0.144581,25,3.6145249999999995
7,天津,2015,0.144581,49,7.0844689999999995
7,天津,2016,0.144581,68,9.831508
7,天津,2018,0.144581,140,20.241339999999997
7,天津,2020,0.144581,246,35.566925999999995
7,天津,2021,0.144581,322,46.555082
7,天津,2022,0.144581,402,58.121562
7,天津,2023,0.144581,470,67.95307
8,宁夏,2013,0.032483,25,0.812075
8,宁夏,2015,0.032483,49,1.591667
8,宁夏,2016,0.032483,68,2.208844
8,宁夏,2018,0.032483,140,4.547619999999999
8,宁夏,2020,0.032483,246,7.990817999999999
8,宁夏,2021,0.032483,322,10.459525999999999
8,宁夏,2022,0.032483,402,13.058166
8,宁夏,2023,0.032483,470,15.267009999999999
9,安徽,2013,0.019761,25,0.49402500000000005
9,安徽,2015,0.019761,49,0.9682890000000001
9,安徽,2016,0.019761,68,1.3437480000000002
9,安徽,2018,0.019761,140,2.76654
9,安徽,2020,0.019761,246,4.861206
9,安徽,2021,0.019761,322,6.363042
9,安徽,2022,0.019761,402,7.943922000000001
9,安徽,2023,0.019761,470,9.28767
10,山东,2013,0.061251,25,1.531275
10,山东,2015,0.061251,49,3.001299
10,山东,2016,0.061251,68,4.165068
10,山东,2018,0.061251,140,8.57514
10,山东,2020,0.061251,246,15.067746
10,山东,2021,0.061251,322,19.722822
10,山东,2022,0.061251,402,24.622902
10,山东,2023,0.061251,470,28.78797
11,山西,2013,0.043082,25,1.07705
11,山西,2015,0.043082,49,2.111018
11,山西,2016,0.043082,68,2.929576
11,山西,2018,0.043082,140,6.03148
11,山西,2020,0.043082,246,10.598172
11,山西,2021,0.043082,322,13.872404000000001
11,山西,2022,0.043082,402,17.318964
11,山西,2023,0.043082,470,20.248540000000002
12,广东,2013,0.082511,25,2.0627750000000002
12,广东,2015,0.082511,49,4.043039
12,广东,2016,0.082511,68,5.610748
12,广东,2018,0.082511,140,11.55154
12,广东,2020,0.082511,246,20.297706
12,广东,2021,0.082511,322,26.568542
12,广东,2022,0.082511,402,33.169422
12,广东,2023,0.082511,470,38.78017
13,广西,2013,0.021223,25,0.530575
13,广西,2015,0.021223,49,1.039927
13,广西,2016,0.021223,68,1.443164
13,广西,2018,0.021223,140,2.9712199999999998
13,广西,2020,0.021223,246,5.220858
13,广西,2021,0.021223,322,6.833806
13,广西,2022,0.021223,402,8.531646
13,广西,2023,0.021223,470,9.97481
14,新疆,2013,0.030471,25,0.7617750000000001
14,新疆,2015,0.030471,49,1.493079
14,新疆,2016,0.030471,68,2.072028
14,新疆,2018,0.030471,140,4.2659400000000005
14,新疆,2020,0.030471,246,7.495866
14,新疆,2021,0.030471,322,9.811662
14,新疆,2022,0.030471,402,12.249342
14,新疆,2023,0.030471,470,14.32137
15,江苏,2013,0.070897,25,1.7724250000000001
15,江苏,2015,0.070897,49,3.4739530000000003
15,江苏,2016,0.070897,68,4.820996
15,江苏,2018,0.070897,140,9.92558
15,江苏,2020,0.070897,246,17.440662
15,江苏,2021,0.070897,322,22.828834
15,江苏,2022,0.070897,402,28.500594
15,江苏,2023,0.070897,470,33.32159
16,江西,2013,0.031043,25,0.7760750000000001
16,江西,2015,0.031043,49,1.521107
16,江西,2016,0.031043,68,2.1109240000000002
16,江西,2018,0.031043,140,4.34602
16,江西,2020,0.031043,246,7.636578
16,江西,2021,0.031043,322,9.995846
16,江西,2022,0.031043,402,12.479286
16,江西,2023,0.031043,470,14.59021
17,河北,2013,0.031574,25,0.78935
17,河北,2015,0.031574,49,1.547126
17,河北,2016,0.031574,68,2.147032
17,河北,2018,0.031574,140,4.42036
17,河北,2020,0.031574,246,7.7672039999999996
17,河北,2021,0.031574,322,10.166827999999999
17,河北,2022,0.031574,402,12.692748
17,河北,2023,0.031574,470,14.83978
18,河南,2013,0.026289,25,0.657225
18,河南,2015,0.026289,49,1.288161
18,河南,2016,0.026289,68,1.787652
18,河南,2018,0.026289,140,3.68046
18,河南,2020,0.026289,246,6.467094
18,河南,2021,0.026289,322,8.465057999999999
18,河南,2022,0.026289,402,10.568178
18,河南,2023,0.026289,470,12.35583
19,浙江,2013,0.088163,25,2.204075
19,浙江,2015,0.088163,49,4.319987
19,浙江,2016,0.088163,68,5.995084
19,浙江,2018,0.088163,140,12.342820000000001
19,浙江,2020,0.088163,246,21.688098
19,浙江,2021,0.088163,322,28.388486
19,浙江,2022,0.088163,402,35.441526
19,浙江,2023,0.088163,470,41.43661
20,海南,2013,0.018048,25,0.45120000000000005
20,海南,2015,0.018048,49,0.884352
20,海南,2016,0.018048,68,1.2272640000000001
20,海南,2018,0.018048,140,2.52672
20,海南,2020,0.018048,246,4.439808
20,海南,2021,0.018048,322,5.811456000000001
20,海南,2022,0.018048,402,7.255296
20,海南,2023,0.018048,470,8.482560000000001
21,湖北,2013,0.04445,25,1.11125
21,湖北,2015,0.04445,49,2.1780500000000003
21,湖北,2016,0.04445,68,3.0226
21,湖北,2018,0.04445,140,6.223000000000001
21,湖北,2020,0.04445,246,10.934700000000001
21,湖北,2021,0.04445,322,14.3129
21,湖北,2022,0.04445,402,17.8689
21,湖北,2023,0.04445,470,20.8915
22,湖南,2013,0.02651,25,0.66275
22,湖南,2015,0.02651,49,1.2989899999999999
22,湖南,2016,0.02651,68,1.8026799999999998
22,湖南,2018,0.02651,140,3.7114
22,湖南,2020,0.02651,246,6.521459999999999
22,湖南,2021,0.02651,322,8.53622
22,湖南,2022,0.02651,402,10.65702
22,湖南,2023,0.02651,470,12.4597
23,甘肃,2013,0.024625,25,0.615625
23,甘肃,2015,0.024625,49,1.206625
23,甘肃,2016,0.024625,68,1.6745
23,甘肃,2018,0.024625,140,3.4475000000000002
23,甘肃,2020,0.024625,246,6.05775
23,甘肃,2021,0.024625,322,7.929250000000001
23,甘肃,2022,0.024625,402,9.89925
23,甘肃,2023,0.024625,470,11.57375
24,福建,2013,0.110577,25,2.7644249999999997
24,福建,2015,0.110577,49,5.418273
24,福建,2016,0.110577,68,7.519235999999999
24,福建,2018,0.110577,140,15.48078
24,福建,2020,0.110577,246,27.201942
24,福建,2021,0.110577,322,35.605793999999996
24,福建,2022,0.110577,402,44.451954
24,福建,2023,0.110577,470,51.97119
25,西藏,2013,0.004558,25,0.11395000000000001
25,西藏,2015,0.004558,49,0.223342
25,西藏,2016,0.004558,68,0.30994400000000005
25,西藏,2018,0.004558,140,0.63812
25,西藏,2020,0.004558,246,1.1212680000000002
25,西藏,2021,0.004558,322,1.4676760000000002
25,西藏,2022,0.004558,402,1.8323160000000003
25,西藏,2023,0.004558,470,2.1422600000000003
26,贵州,2013,0.015379,25,0.384475
26,贵州,2015,0.015379,49,0.753571
26,贵州,2016,0.015379,68,1.045772
26,贵州,2018,0.015379,140,2.15306
26,贵州,2020,0.015379,246,3.783234
26,贵州,2021,0.015379,322,4.952038
26,贵州,2022,0.015379,402,6.182358
26,贵州,2023,0.015379,470,7.22813
27,辽宁,2013,0.064708,25,1.6177000000000001
27,辽宁,2015,0.064708,49,3.1706920000000003
27,辽宁,2016,0.064708,68,4.400144
27,辽宁,2018,0.064708,140,9.05912
27,辽宁,2020,0.064708,246,15.918168
27,辽宁,2021,0.064708,322,20.835976000000002
27,辽宁,2022,0.064708,402,26.012616
27,辽宁,2023,0.064708,470,30.412760000000002
28,重庆,2013,0.032667,25,0.816675
28,重庆,2015,0.032667,49,1.600683
28,重庆,2016,0.032667,68,2.221356
28,重庆,2018,0.032667,140,4.57338
28,重庆,2020,0.032667,246,8.036082
28,重庆,2021,0.032667,322,10.518774
28,重庆,2022,0.032667,402,13.132134
28,重庆,2023,0.032667,470,15.35349
29,陕西,2013,0.041499,25,1.037475
29,陕西,2015,0.041499,49,2.033451
29,陕西,2016,0.041499,68,2.821932
29,陕西,2018,0.041499,140,5.8098600000000005
29,陕西,2020,0.041499,246,10.208754
29,陕西,2021,0.041499,322,13.362678
29,陕西,2022,0.041499,402,16.682598
29,陕西,2023,0.041499,470,19.50453
30,青海,2013,0.033186,25,0.82965
30,青海,2015,0.033186,49,1.626114
30,青海,2016,0.033186,68,2.256648
30,青海,2018,0.033186,140,4.64604
30,青海,2020,0.033186,246,8.163756
30,青海,2021,0.033186,322,10.685892
30,青海,2022,0.033186,402,13.340772
30,青海,2023,0.033186,470,15.59742
31,黑龙江,2013,0.038296,25,0.9573999999999999
31,黑龙江,2015,0.038296,49,1.8765039999999997
31,黑龙江,2016,0.038296,68,2.6041279999999998
31,黑龙江,2018,0.038296,140,5.36144
31,黑龙江,2020,0.038296,246,9.420815999999999
31,黑龙江,2021,0.038296,322,12.331311999999999
31,黑龙江,2022,0.038296,402,15.394991999999998
31,黑龙江,2023,0.038296,470,17.999119999999998
