soc_major_group,soc_minor_group,soc_broad_occupation,soc_detailed_occupation,soc_code,soc_title,isco08_code,gbt_occ_code,cfps_occ_code,mapping_method,confidence
,,,,11-1011.03,Chief Sustainability Officers,,,,soc_structure_base,unmapped
,,,,11-3013.01,Security Managers,,,,soc_structure_base,unmapped
,,,,11-3031.01,Treasurers and Controllers,,,,soc_structure_base,unmapped
,,,,11-3031.03,Investment Fund Managers,,,,soc_structure_base,unmapped
,,,,11-3051.01,Quality Control Systems Managers,,,,soc_structure_base,unmapped
,,,,11-3051.02,Geothermal Production Managers,,,,soc_structure_base,unmapped
,,,,11-3051.03,Biofuels Production Managers,,,,soc_structure_base,unmapped
,,,,11-3051.04,Biomass Power Plant Managers,,,,soc_structure_base,unmapped
,,,,11-3051.06,Hydroelectric Production Managers,,,,soc_structure_base,unmapped
,,,,11-3071.04,Supply Chain Managers,,,,soc_structure_base,unmapped
,,,,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,,soc_structure_base,unmapped
,,,,11-9121.01,Clinical Research Coordinators,,,,soc_structure_base,unmapped
,,,,11-9121.02,Water Resource Specialists,,,,soc_structure_base,unmapped
,,,,11-9179.01,Fitness and Wellness Coordinators,,,,soc_structure_base,unmapped
,,,,11-9179.02,Spa Managers,,,,soc_structure_base,unmapped
,,,,11-9199.01,Regulatory Affairs Managers,,,,soc_structure_base,unmapped
,,,,11-9199.02,Compliance Managers,,,,soc_structure_base,unmapped
,,,,11-9199.08,Loss Prevention Managers,,,,soc_structure_base,unmapped
,,,,11-9199.09,Wind Energy Operations Managers,,,,soc_structure_base,unmapped
,,,,11-9199.10,Wind Energy Development Managers,,,,soc_structure_base,unmapped
,,,,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,,,,soc_structure_base,unmapped
,,,,13-1041.01,Environmental Compliance Inspectors,,,,soc_structure_base,unmapped
,,,,13-1041.03,Equal Opportunity Representatives and Officers,,,,soc_structure_base,unmapped
,,,,13-1041.04,Government Property Inspectors and Investigators,,,,soc_structure_base,unmapped
,,,,13-1041.06,Coroners,,,,soc_structure_base,unmapped
,,,,13-1041.07,Regulatory Affairs Specialists,,,,soc_structure_base,unmapped
,,,,13-1041.08,Customs Brokers,,,,soc_structure_base,unmapped
,,,,13-1081.01,Logistics Engineers,,,,soc_structure_base,unmapped
,,,,13-1081.02,Logistics Analysts,,,,soc_structure_base,unmapped
,,,,13-1161.01,Search Marketing Strategists,,,,soc_structure_base,unmapped
,,,,13-1199.04,Business Continuity Planners,,,,soc_structure_base,unmapped
,,,,13-1199.05,Sustainability Specialists,,,,soc_structure_base,unmapped
,,,,13-1199.06,Online Merchants,,,,soc_structure_base,unmapped
,,,,13-1199.07,Security Management Specialists,,,,soc_structure_base,unmapped
,,,,13-2099.01,Financial Quantitative Analysts,,,,soc_structure_base,unmapped
,,,,13-2099.04,"Fraud Examiners, Investigators and Analysts",,,,soc_structure_base,unmapped
,,,,15-1211.01,Health Informatics Specialists,,,,soc_structure_base,unmapped
