occupation_code,routine_task_score,cognitive_task_score,social_task_score,ai_exposure_score,llm_exposure_score,source
11-1011,,,,0.04469198765266408,0.04469198765266408,local:onet_task_statements+job_exposure
11-1011.00,0.03225806451612903,0.2903225806451613,0.3870967741935484,,,local:onet_task_statements+job_exposure
11-1011.03,0.2222222222222222,0.5555555555555556,0.1111111111111111,,,local:onet_task_statements+job_exposure
11-1021,,,,0.18494161857468797,0.18494161857468797,local:onet_task_statements+job_exposure
11-1021.00,0.11764705882352941,0.23529411764705882,0.23529411764705882,,,local:onet_task_statements+job_exposure
11-1031,,,,0.0,0.0,local:onet_task_statements+job_exposure
11-1031.00,0.03333333333333333,0.16666666666666666,0.23333333333333334,,,local:onet_task_statements+job_exposure
11-2011,,,,0.2323178096899745,0.2323178096899745,local:onet_task_statements+job_exposure
11-2011.00,0.16,0.52,0.4,,,local:onet_task_statements+job_exposure
11-2011.01,0.0625,0.625,0.25,,,local:onet_task_statements+job_exposure
11-2021,,,,0.4288015031539391,0.4288015031539391,local:onet_task_statements+job_exposure
11-2021.00,0.1,0.5,0.4,,,local:onet_task_statements+job_exposure
11-2022,,,,0.058113004965776406,0.058113004965776406,local:onet_task_statements+job_exposure
11-2022.00,0.29411764705882354,0.17647058823529413,0.4117647058823529,,,local:onet_task_statements+job_exposure
11-2031.00,0.05263157894736842,0.42105263157894735,0.21052631578947367,,,local:onet_task_statements+job_exposure
11-2032,,,,0.3106965507985506,0.3106965507985506,local:onet_task_statements+job_exposure
11-3011.00,0.21428571428571427,0.21428571428571427,0.14285714285714285,,,local:onet_task_statements+job_exposure
11-3012,,,,0.0,0.0,local:onet_task_statements+job_exposure
11-3013,,,,0.1805126828613609,0.1805126828613609,local:onet_task_statements+job_exposure
11-3021,,,,0.20923365991142132,0.20923365991142132,local:onet_task_statements+job_exposure
11-3021.00,0.058823529411764705,0.4117647058823529,0.17647058823529413,,,local:onet_task_statements+job_exposure
11-3031,,,,0.5243591464232988,0.5243591464232988,local:onet_task_statements+job_exposure
11-3031.01,0.22727272727272727,0.36363636363636365,0.3181818181818182,,,local:onet_task_statements+job_exposure
11-3031.02,0.09523809523809523,0.38095238095238093,0.2857142857142857,,,local:onet_task_statements+job_exposure
11-3051,,,,0.01771574285330828,0.01771574285330828,local:onet_task_statements+job_exposure
11-3051.00,0.42857142857142855,0.35714285714285715,0.42857142857142855,,,local:onet_task_statements+job_exposure
11-3051.01,0.4074074074074074,0.2222222222222222,0.1111111111111111,,,local:onet_task_statements+job_exposure
11-3051.02,0.29411764705882354,0.7058823529411765,0.11764705882352941,,,local:onet_task_statements+job_exposure
11-3051.03,0.35714285714285715,0.42857142857142855,0.07142857142857142,,,local:onet_task_statements+job_exposure
11-3051.04,0.4444444444444444,0.5,0.0,,,local:onet_task_statements+job_exposure
11-3051.05,0.3333333333333333,0.19047619047619047,0.047619047619047616,,,local:onet_task_statements+job_exposure
11-3051.06,0.3157894736842105,0.3157894736842105,0.15789473684210525,,,local:onet_task_statements+job_exposure
11-3061,,,,0.26895718695477117,0.26895718695477117,local:onet_task_statements+job_exposure
11-3061.00,0.11764705882352941,0.29411764705882354,0.29411764705882354,,,local:onet_task_statements+job_exposure
11-3071,,,,0.12830492551335393,0.12830492551335393,local:onet_task_statements+job_exposure
11-3071.01,0.21428571428571427,0.2857142857142857,0.17857142857142858,,,local:onet_task_statements+job_exposure
11-3071.02,0.2,0.36666666666666664,0.2,,,local:onet_task_statements+job_exposure
11-3071.03,0.3,0.3,0.2,,,local:onet_task_statements+job_exposure
11-3111,,,,0.0,0.0,local:onet_task_statements+job_exposure
11-3111.00,0.08333333333333333,0.3333333333333333,0.2916666666666667,,,local:onet_task_statements+job_exposure
11-3121,,,,0.0,0.0,local:onet_task_statements+job_exposure
11-3121.00,0.038461538461538464,0.34615384615384615,0.34615384615384615,,,local:onet_task_statements+job_exposure
11-3131,,,,0.5069118239162529,0.5069118239162529,local:onet_task_statements+job_exposure
11-3131.00,0.08333333333333333,0.6666666666666666,0.9166666666666666,,,local:onet_task_statements+job_exposure
11-9013,,,,0.0,0.0,local:onet_task_statements+job_exposure
11-9013.01,0.25,0.65,0.15,,,local:onet_task_statements+job_exposure
11-9013.02,0.3333333333333333,0.2962962962962963,0.07407407407407407,,,local:onet_task_statements+job_exposure
11-9013.03,0.3157894736842105,0.05263157894736842,0.10526315789473684,,,local:onet_task_statements+job_exposure
11-9021,,,,0.15917326533351228,0.15917326533351228,local:onet_task_statements+job_exposure
11-9021.00,0.12,0.4,0.2,,,local:onet_task_statements+job_exposure
11-9031,,,,0.05301301838679372,0.05301301838679372,local:onet_task_statements+job_exposure
11-9031.00,0.23529411764705882,0.35294117647058826,0.35294117647058826,,,local:onet_task_statements+job_exposure
11-9032,,,,0.07046034089383975,0.07046034089383975,local:onet_task_statements+job_exposure
11-9032.00,0.06451612903225806,0.41935483870967744,0.41935483870967744,,,local:onet_task_statements+job_exposure
11-9033,,,,0.08643135149644343,0.08643135149644343,local:onet_task_statements+job_exposure
11-9033.00,0.14285714285714285,0.32142857142857145,0.35714285714285715,,,local:onet_task_statements+job_exposure
11-9039.01,0.13043478260869565,0.30434782608695654,0.21739130434782608,,,local:onet_task_statements+job_exposure
11-9039.02,0.043478260869565216,0.2608695652173913,0.21739130434782608,,,local:onet_task_statements+job_exposure
11-9041,,,,0.041068312978123744,0.041068312978123744,local:onet_task_statements+job_exposure
11-9041.00,0.0,0.42857142857142855,0.14285714285714285,,,local:onet_task_statements+job_exposure
11-9041.01,0.42105263157894735,0.8421052631578947,0.0,,,local:onet_task_statements+job_exposure
11-9051,,,,0.0,0.0,local:onet_task_statements+job_exposure
11-9051.00,0.35714285714285715,0.17857142857142858,0.21428571428571427,,,local:onet_task_statements+job_exposure
11-9061.00,0.2727272727272727,0.2727272727272727,0.18181818181818182,,,local:onet_task_statements+job_exposure
11-9071,,,,0.0,0.0,local:onet_task_statements+job_exposure
11-9071.00,0.21052631578947367,0.10526315789473684,0.10526315789473684,,,local:onet_task_statements+job_exposure
11-9081,,,,0.16306536035431485,0.16306536035431485,local:onet_task_statements+job_exposure
11-9081.00,0.375,0.16666666666666666,0.20833333333333334,,,local:onet_task_statements+job_exposure
11-9111,,,,0.08844450409341029,0.08844450409341029,local:onet_task_statements+job_exposure
11-9111.00,0.2777777777777778,0.5555555555555556,0.16666666666666666,,,local:onet_task_statements+job_exposure
11-9121,,,,0.0822708361293786,0.0822708361293786,local:onet_task_statements+job_exposure
11-9121.00,0.0625,0.75,0.375,,,local:onet_task_statements+job_exposure
11-9121.01,0.3333333333333333,0.24242424242424243,0.2727272727272727,,,local:onet_task_statements+job_exposure
11-9121.02,0.2857142857142857,0.3333333333333333,0.14285714285714285,,,local:onet_task_statements+job_exposure
11-9131,,,,0.0,0.0,local:onet_task_statements+job_exposure
11-9131.00,0.16666666666666666,0.25,0.3333333333333333,,,local:onet_task_statements+job_exposure
11-9141,,,,0.22184941618574688,0.22184941618574688,local:onet_task_statements+job_exposure
11-9141.00,0.14814814814814814,0.2962962962962963,0.2222222222222222,,,local:onet_task_statements+job_exposure
11-9151,,,,0.242651993021071,0.242651993021071,local:onet_task_statements+job_exposure
11-9151.00,0.0625,0.3125,0.3125,,,local:onet_task_statements+job_exposure
11-9161,,,,0.0,0.0,local:onet_task_statements+job_exposure
11-9161.00,0.08695652173913043,0.6956521739130435,0.30434782608695654,,,local:onet_task_statements+job_exposure
11-9171,,,,0.014494698698161322,0.014494698698161322,local:onet_task_statements+job_exposure
11-9179,,,,0.16695745537511744,0.16695745537511744,local:onet_task_statements+job_exposure
11-9199,,,,0.0920681787679506,0.0920681787679506,local:onet_task_statements+job_exposure
11-9199.01,0.2962962962962963,0.2962962962962963,0.14814814814814814,,,local:onet_task_statements+job_exposure
11-9199.02,0.26666666666666666,0.2,0.26666666666666666,,,local:onet_task_statements+job_exposure
11-9199.03,0.25,0.4,0.1,,,local:onet_task_statements+job_exposure
11-9199.04,0.23333333333333334,0.43333333333333335,0.03333333333333333,,,local:onet_task_statements+job_exposure
11-9199.07,0.2,0.4666666666666667,0.26666666666666666,,,local:onet_task_statements+job_exposure
11-9199.08,0.14814814814814814,0.18518518518518517,0.25925925925925924,,,local:onet_task_statements+job_exposure
11-9199.09,0.25,0.125,0.1875,,,local:onet_task_statements+job_exposure
11-9199.10,0.26666666666666666,0.4,0.26666666666666666,,,local:onet_task_statements+job_exposure
11-9199.11,0.09090909090909091,0.5454545454545454,0.22727272727272727,,,local:onet_task_statements+job_exposure
13-1011,,,,0.15836800429472553,0.15836800429472553,local:onet_task_statements+job_exposure
13-1011.00,0.15384615384615385,0.23076923076923078,0.3076923076923077,,,local:onet_task_statements+job_exposure
13-1021.00,0.3333333333333333,0.0,0.25,,,local:onet_task_statements+job_exposure
13-1022.00,0.2,0.2,0.15,,,local:onet_task_statements+job_exposure
13-1023.00,0.3157894736842105,0.3157894736842105,0.21052631578947367,,,local:onet_task_statements+job_exposure
13-1031,,,,0.10978392162125888,0.10978392162125888,local:onet_task_statements+job_exposure
13-1031.01,0.375,0.25,0.1875,,,local:onet_task_statements+job_exposure
13-1031.02,0.23076923076923078,0.07692307692307693,0.3076923076923077,,,local:onet_task_statements+job_exposure
13-1032,,,,0.0,0.0,local:onet_task_statements+job_exposure
13-1032.00,0.0,0.2857142857142857,0.0,,,local:onet_task_statements+job_exposure
13-1041,,,,0.16252851966179035,0.16252851966179035,local:onet_task_statements+job_exposure
13-1041.01,0.3076923076923077,0.2692307692307692,0.07692307692307693,,,local:onet_task_statements+job_exposure
13-1041.02,0.16666666666666666,0.08333333333333333,0.16666666666666666,,,local:onet_task_statements+job_exposure
