provcd,province,year,gdp,population,gdp_pc,ln_gdp_pc,urban_rate,unemployment_rate,mfg_share
1,上海,2010,17165.98,2302.6608,76074.49,11.239468270832086,,4.35,0.152821
2,云南,2010,7224.18,4601.6,15752.0,9.664722620318962,35.2,4.21,0.020907
3,内蒙古,2010,11672.0,2472.1786,47347.0,10.76525873863448,,3.9,0.031443
4,北京,2010,14113.58,1961.9,75943.0,11.237738337877763,86.0,1.37,0.076313
5,吉林,2010,8667.58,2746.6021,31599.0,10.360880753504652,,3.8,0.048667
6,四川,2010,17185.48,8044.92,21182.0,9.960907043403614,40.18,4.14,0.024853
7,天津,2010,9224.46,1299.29,72994.0,11.198132524971777,,3.6,0.144581
8,宁夏,2010,1689.65,632.96,26860.0,10.198393470077228,47.9,4.35,0.032483
9,安徽,2010,12359.33,5956.7096,20888.0,9.946930110378965,43.01,3.66,0.019761
10,山东,2010,39169.92,9587.8641,41106.0,10.623909375230953,,3.36,0.061251
11,山西,2010,9200.86,3574.1145,26283.0,10.176677621334473,,3.58,0.043082
12,广东,2010,46013.06,10440.9641,44736.0,10.708533825593483,66.18,2.52,0.082511
13,广西,2010,9569.85,4610.0,20219.0,9.914378035367301,,3.66,0.021223
14,新疆,2010,5437.47,2185.11,25034.0,10.127990179887968,,3.23,0.030471
15,江苏,2010,41425.48,7869.34,52840.0,10.875023758636262,,3.16,0.070897
16,江西,2010,9451.26,4462.2489,21253.0,9.964253340858692,44.06,3.31,0.031043
17,河北,2010,20394.26,7193.6,28668.0,10.26353679711381,,3.86,0.031574
18,河南,2010,23092.36,9405.4697,24446.0,10.104221882337209,,3.38,0.026289
19,浙江,2010,27722.31,5446.51,51711.0,10.853425803822502,,3.2,0.088163
20,海南,2010,2064.5,868.5512,23831.0,10.078742533123364,,3.0,0.018048
21,湖北,2010,15967.61,5727.9143,27906.0,10.236596998452152,,4.18,0.04445
22,湖南,2010,16037.96,6570.1,24719.0,10.115327457678946,,4.16,0.02651
23,甘肃,2010,4120.75,2559.98,16113.0,9.68738167857357,36.12,3.21,0.024625
24,福建,2010,14737.12,3693.0,40025.0,10.597259537864915,57.09,3.77,0.110577
25,西藏,2010,507.46,300.7218,17319.0,9.759559443729044,,3.99,0.004558
26,贵州,2010,4602.16,3478.9408,13119.0,9.48181684008103,,3.64,0.015379
27,辽宁,2010,18457.27,4374.9,42355.0,10.653841756865651,62.1,3.63,0.064708
28,重庆,2010,7925.58,2884.62,27596.0,10.225426113666,,3.9,0.032667
29,陕西,2010,10123.48,3735.2267,27133.0,10.208505978234776,,3.85,0.041499
30,青海,2010,1350.43,563.0,24115.0,10.090589332503072,44.72,3.8,0.033186
31,黑龙江,2010,10368.6,3833.4024,27076.0,10.206403005628498,,4.27,0.038296
