policy_id,provider,model_id,prompt_type,context_type,max_output_tokens,temperature,notes
pl_openai_mini_std,OpenAI,gpt-4o-mini,standard,short,1024,0.2,cheap baseline
pl_openai_4o_std,OpenAI,gpt-4o,standard,short,1024,0.2,frontier OpenAI multimodal text
pl_deepseek_flash,DeepSeek,deepseek-v4-flash,standard,short,2048,0.2,low-cost CN vendor
pl_deepseek_pro,DeepSeek,deepseek-v4-pro,standard,short,2048,0.2,higher-tier CN vendor
pl_claude_haiku,Anthropic,claude-haiku-4-5,standard,short,2048,0.2,Anthropic fast
pl_claude_sonnet,Anthropic,claude-sonnet-4-6,standard,short,2048,0.2,Anthropic balanced
pl_gemini_flash_lite,Google,gemini-2.5-flash-lite,standard,short,2048,0.2,Google lite
pl_gemini_flash,Google,gemini-2.5-flash,standard,short,2048,0.2,Google default flash
pl_glm_47,GLM,glm-4.7,standard,short,2048,0.2,Zhipu GLM flagship
pl_glm_47_flashx,GLM,glm-4.7-flashx,standard,short,2048,0.2,Zhipu GLM faster variant
pl_kimi_k26,Kimi,kimi-k2.6,standard,short,2048,0.2,Kimi latest flagship
pl_kimi_k25,Kimi,kimi-k2.5,standard,short,2048,0.2,Kimi previous stable model
pl_spark_ultra,Spark,spark-x2,standard,short,2048,0.2,iFlytek Spark Ultra
pl_spark_max,Spark,spark-x2flash,standard,short,2048,0.2,iFlytek Spark Max
pl_baidu_ernie_45_32k,Baidu,ernie-4.5-turbo-32k,standard,short,2048,0.2,Baidu Qianfan ERNIE 4.5 Turbo 32K
pl_baidu_ernie_45_128k,Baidu,ernie-4.5-turbo-128k,standard,short,2048,0.2,Baidu Qianfan ERNIE 4.5 Turbo 128K
