mapping_resource,url
CFPS 2010 职业行业编码,https://www.isss.pku.edu.cn/cfps/docs/20180927133129327096.pdf
CFPS 用户手册,https://www.isss.pku.edu.cn/cfps/docs/20200315092524928116.pdf
CFPS 职业编码规则说明,https://www.isss.pku.edu.cn/cfps/docs/20210604150510184008.pdf
CFPS 2010 成人问卷,https://www.isss.pku.edu.cn/cfps/docs/20201231155824885228.pdf
国家职业分类标准检索,https://openstd.samr.gov.cn/bzgk/gb/std_list?p.p1=0&p.p2=%E8%81%8C%E4%B8%9A%E5%88%86%E7%B1%BB%E4%B8%8E%E4%BB%A3%E7%A0%81&p.p90=circulation_date&p.p91=desc
职业分类大典（2022年版）,https://rsj.wuhai.gov.cn/rsj/733324/733364/2228948/2025042918334715812.pdf
ISCO-08 主文档,https://webapps.ilo.org/ilostat-files/ISCO/newdocs-08-2021/ISCO-08/ISCO-08%20EN%20Vol%201.pdf
ISCO-08 结构与定义,https://webapps.ilo.org/ilostat-files/ISCO/newdocs-08-2021/ISCO-08/ISCO-08%20EN%20Structure%20and%20definitions.xlsx
ILO ISCO-08 companion guide,https://www.ilo.org/publications/international-standard-classification-occupations-isco-08-companion-guide
SOC 2010 ↔ ISCO-08 Crosswalk,https://www.bls.gov/soc/isco_soc_crosswalk.xls
