resource_name_cn,resource_name_en,url,publisher_type,file_type,notes
CFPS 2010 职业行业编码,CFPS occupation/industry coding PDF,https://www.isss.pku.edu.cn/cfps/docs/20180927133129327096.pdf,official,pdf,CFPS 职业/行业码表说明
CFPS 用户手册,CFPS user manual,https://www.isss.pku.edu.cn/cfps/docs/20200315092524928116.pdf,official,pdf,含职业变量说明
CFPS 职业编码规则说明,CFPS occupation coding rules,https://www.isss.pku.edu.cn/cfps/docs/20210604150510184008.pdf,official,pdf,用于理解 CFPS 与国标职业编码关系
CFPS 2010 成人问卷,CFPS 2010 adult questionnaire,https://www.isss.pku.edu.cn/cfps/docs/20201231155824885228.pdf,official,pdf,问卷原文
国家职业分类标准检索,GB/T 6565 职业分类与代码检索页,https://openstd.samr.gov.cn/bzgk/gb/std_list?p.p1=0&p.p2=%E8%81%8C%E4%B8%9A%E5%88%86%E7%B1%BB%E4%B8%8E%E4%BB%A3%E7%A0%81&p.p90=circulation_date&p.p91=desc,official,html,可检索 2009/2015 版国家职业分类标准
职业分类大典（2022年版）,Occupation Dictionary 2022 full PDF,https://rsj.wuhai.gov.cn/rsj/733324/733364/2228948/2025042918334715812.pdf,government_public_copy,pdf,可用于人工对齐到新版职业分类
ISCO-08 主文档,ISCO-08 Vol 1,https://webapps.ilo.org/ilostat-files/ISCO/newdocs-08-2021/ISCO-08/ISCO-08%20EN%20Vol%201.pdf,official,pdf,ISCO-08 分类说明
ISCO-08 结构与定义,ISCO-08 structure and definitions,https://webapps.ilo.org/ilostat-files/ISCO/newdocs-08-2021/ISCO-08/ISCO-08%20EN%20Structure%20and%20definitions.xlsx,official,xlsx,ISCO-08 结构表，可转成机器可读映射辅助表
ILO ISCO-08 companion guide,ISCO-08 companion guide landing page,https://www.ilo.org/publications/international-standard-classification-occupations-isco-08-companion-guide,official,html,ILO 官方说明页
SOC 2010 ↔ ISCO-08 Crosswalk,BLS crosswalk download URL,https://www.bls.gov/soc/isco_soc_crosswalk.xls,official,xls,SOC 到 ISCO 的现成 crosswalk 入口
