model,param,coef,std_err,t,pvalue,n_obs,r2
M1_log_cost_policy,Intercept,-15.844235322352542,0.018078085225575784,-876.4332684933398,0.0,1267,0.9995634954431594
M1_log_cost_policy,C(policy_id)[T.pl_deepseek_pro],2.502774888815882,0.0028331263695341876,883.3968423467743,0.0,1267,0.9995634954431594
M1_log_cost_policy,C(policy_id)[T.pl_glm_47],2.0206586015059687,0.003720438202209795,543.1238181313632,0.0,1267,0.9995634954431594
M1_log_cost_policy,C(policy_id)[T.pl_glm_47_flashx],0.30851648685562433,0.003285579381695646,93.90017741601571,0.0,1267,0.9995634954431594
M1_log_cost_policy,C(policy_id)[T.pl_spark_max],-0.01262145620091317,0.0026699677885491328,-4.727194183781409,2.2764354388791443e-06,1267,0.9995634954431594
M1_log_cost_policy,C(policy_id)[T.pl_spark_ultra],1.7623897362967542,0.003141920688626887,560.927506119504,0.0,1267,0.9995634954431594
M1_log_cost_policy,log_tokens,1.102408631413175,0.0027754394766249142,397.2014669020144,0.0,1267,0.9995634954431594
M2_quality_sector,Intercept,0.4199659507108797,0.7483489746681923,0.5611899861252391,0.5746680287648366,1239,0.45764255886328753
M2_quality_sector,C(tepsa_sector)[T.education],-1.3623345784755492,0.2618137763088952,-5.203448793573906,1.956236732468398e-07,1239,0.45764255886328753
M2_quality_sector,C(tepsa_sector)[T.enterprise_support],1.9055564898112884,0.23405204546117886,8.14159297799153,3.9011078777488297e-16,1239,0.45764255886328753
M2_quality_sector,C(tepsa_sector)[T.manufacturing],1.683032225434196,0.25207116264308305,6.676813832200489,2.4419282393457642e-11,1239,0.45764255886328753
M2_quality_sector,C(tepsa_sector)[T.public_service],1.8118931381888062,0.24336130377364,7.445280371583315,9.673874557191637e-14,1239,0.45764255886328753
M2_quality_sector,log_tokens,0.8589672271853671,0.11701854773480586,7.340436570209433,2.1289825286784026e-13,1239,0.45764255886328753
M3_value_policy,Intercept,-16.492928600019532,2.471919402304659,-6.672114222107154,2.5214419340723017e-11,1239,0.516179842780587
M3_value_policy,C(policy_id)[T.pl_deepseek_pro],-1.1726617223447187,0.3721587755006899,-3.1509715732675097,0.0016272832730903452,1239,0.516179842780587
M3_value_policy,C(policy_id)[T.pl_glm_47],14.852480899528986,0.6025074597435545,24.651115366854803,3.580153411814315e-134,1239,0.516179842780587
M3_value_policy,C(policy_id)[T.pl_glm_47_flashx],14.3526820116059,0.6394024423183644,22.447024067605245,1.368309840830955e-111,1239,0.516179842780587
M3_value_policy,C(policy_id)[T.pl_spark_max],9.70713958330821,0.6321668826683468,15.355343421874347,3.2617771533034246e-53,1239,0.516179842780587
M3_value_policy,C(policy_id)[T.pl_spark_ultra],12.567398543721145,0.6121348440140494,20.530441399661125,1.1512438393788675e-93,1239,0.516179842780587
M3_value_policy,log_tokens,2.113347167456016,0.4053242726005485,5.213966471578036,1.848448919811482e-07,1239,0.516179842780587
