model,param,coef,std_err,t,pvalue,n_obs,r2
M1w_cost_task_policy_fe,Intercept,-15.732925523520047,0.018772038949773192,-838.1042445956642,0.0,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-002],-0.009722598337657554,0.01902047551191627,-0.5111648408351503,0.6092356357631531,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-003],0.00528633271915642,0.019823551842571473,0.2666693013006839,0.7897237922243456,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-004],0.023440458666048145,0.007529795578095634,3.1130272293496297,0.001851789319531533,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-005],0.006237031495529129,0.006975934605138785,0.8940782631383403,0.3712800185281402,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-006],-0.009495650217873783,0.0147820290266678,-0.6423779983615899,0.5206277816213192,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-007],0.008753920144748975,0.016916869284365917,0.5174669140961617,0.6048302594355468,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-008],-0.027211173322348126,0.03844491801640994,-0.7077963675389614,0.4790717224600922,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-009],-0.024798203555074783,0.009641516962797216,-2.5720230178260537,0.010110616937507077,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-010],0.022625045287367737,0.008019330850100743,2.82131336270825,0.004782745856445781,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-011],-0.030624075279547497,0.012976656344132401,-2.3599357544360533,0.018278100200660192,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-012],-0.012422214340943344,0.022047065002368985,-0.5634407273534396,0.5731348107266254,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-013],-0.0372606260102645,0.029713390623511155,-1.2540011499320944,0.2098415874641807,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-014],-0.08444688656946292,0.040604820920765415,-2.0797256250495257,0.03755070631317834,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-015],-0.019914247894566056,0.010726196273560565,-1.8565992441937214,0.06336819155877013,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-016],0.00800399635046424,0.01336834857584184,0.598727382447851,0.54935469411584,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-017],-0.004953883884863296,0.009624695381843297,-0.5147055245206671,0.6067588123641976,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-018],-0.013291370581372912,0.00974000800928423,-1.364615980675119,0.1723737793500738,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-019],0.0009940076604090797,0.007556263830560501,0.13154750584394923,0.8953422088240769,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-020],-0.016488418318748116,0.019650567480330984,-0.8390810257898157,0.40142384283730403,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-021],0.007545739702884954,0.013231867357962982,0.5702702044049666,0.5684944464406124,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-022],0.010332335136115083,0.009155784684980092,1.128503508067976,0.25910733616716886,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-023],0.0013459614566452768,0.005972681331809767,0.22535296659422485,0.8217046977828605,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-024],-0.01798649752077583,0.03292450040384705,-0.5462952300006413,0.5848630145832863,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-025],-0.011497168443917204,0.007388475670444693,-1.556094782839722,0.11968555543788452,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-026],-0.0232842410533836,0.014664942536247488,-1.587748536745487,0.11234321283218571,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-027],-0.029973970077132275,0.03317384243145342,-0.9035423056303175,0.36623814581495384,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-028],-0.08334008779892582,0.03296497199144796,-2.5281407131347353,0.01146683838929787,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-029],0.029954939552802998,0.01297787738503698,2.308153996534129,0.020990572818771792,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-030],-0.024661392295739874,0.016676190980825806,-1.4788384424294139,0.13918349877350056,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-031],-0.02030214776754273,0.01568678568440738,-1.294219744948961,0.19558952844802913,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-032],0.028127499128670477,0.009485133209270042,2.9654300586080136,0.003022600656912079,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-033],-0.0227514793329157,0.011818283013219489,-1.9251086902781689,0.05421576199511778,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-034],0.015017722356592711,0.007317429398324587,2.052322139251688,0.04013836579701069,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-035],-0.014521704841312821,0.01278062567784472,-1.1362280069344548,0.2558611520338061,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-036],0.012956714020315965,0.013835076761124257,0.9365118997188047,0.3490096886563976,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-037],0.03128028222818756,0.009276931224698092,3.3718350897018254,0.0007466914361483822,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-038],0.02425071905452693,0.008985118163781282,2.698987215580624,0.006955084810161573,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-039],0.0303774573617923,0.006555767683667217,4.633699488386922,3.5918829972832693e-06,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-040],0.01100753100928796,0.010388559037638821,1.0595820815385983,0.2893347689587602,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-041],-0.0396861648303936,0.028896384600502294,-1.3733955087829135,0.16962942524029057,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-042],-0.005250924471173923,0.014967606563595267,-0.35081924747710863,0.7257239564411093,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-043],-0.03471246651316233,0.01780411765392445,-1.9496875491333814,0.05121337122512255,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-044],-0.0029424720129825332,0.01686040682024049,-0.1745196331472957,0.8614571025029822,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ceval-045],-0.03162008655349631,0.0393728085983403,-0.8030945131719459,0.421920108812881,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.cmmlu-001],0.020662424396900782,0.01469194256382745,1.406377972629233,0.15961191762296467,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.cmmlu-002],0.020439877287926622,0.015551592641862448,1.3143269476404416,0.1887362025238486,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.cmmlu-003],0.027521018002264294,0.009428792381302861,2.9188274478116645,0.0035135064939743788,1267,0.9998328230976583
