province,year,gdp_100m_rmb,per_capita_gdp_rmb,population_year_end_10k_persons,urbanization_rate_pct_2010,registered_unemployment_rate_pct,registered_unemployment_persons_10k,industry_share_gdp_pct,second_industry_share_gdp_pct,manufacturing_urban_unit_employment_10k,urban_unit_employment_10k,total_employment_10k,manufacturing_share_total_employment,manufacturing_share_urban_unit_employment,urbanization_source_url,urbanization_source_title,urbanization_note,gdp_source,population_source,unemployment_source,employment_source,manufacturing_employment_source
北京,2010,14113.58,75943.0,1961.9,86.0,1.37,7.7255,19.583904296429395,24.0,100.5543,646.6348,1317.664,0.07631255008864171,0.15550400318696117,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902059.html,北京市2010年第六次全国人口普查主要数据公报,2010年第六次全国人口普查公报口径（城镇人口占常住人口比重）,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
天津,2010,9224.46,72994.0,1299.29,,3.6,16.0983,47.816891178453815,52.5,75.2956,205.6532,520.7844,0.14458113568686004,0.3661289977496095,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
河北,2010,20394.26,28668.0,7193.6,,3.86,35.1365,46.846661756788436,52.5,119.6714,519.5833,3790.1855000000005,0.03157402190473263,0.23032187524117886,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
山西,2010,9200.86,26283.0,3574.1145,,3.58,20.3868,50.62537632351758,56.9,71.7355,394.4041,1665.0776,0.04308237646101299,0.18188325121366639,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
内蒙古,2010,11672.0,47347.0,2472.1786,,3.9,20.811,48.13570938999314,54.6,37.2494,249.1914,1184.6755,0.031442703086203776,0.14948108161036056,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
辽宁,2010,18457.27,42355.0,4374.9,62.1,3.63,38.9317,47.61955587148045,54.1,144.8232,518.1466,2238.0865999999996,0.06470848804510068,0.2795023647747568,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902074.html,辽宁省2010年第六次全国人口普查主要数据公报,2010年第六次全国人口普查公报口径（城镇人口占常住人口比重）,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
吉林,2010,8667.58,31599.0,2746.6021,,3.8,22.65,45.333414863202876,52.0,60.7685,267.6249,1248.6706,0.04866655785761274,0.2270659419209498,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
黑龙江,2010,10368.6,27076.0,3833.4024,,4.27,36.2397,44.44447659278977,50.2,66.7652,459.9946,1743.3898,0.03829619744247672,0.14514344298824378,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
上海,2010,17165.98,76074.49,2302.6608,,4.35,27.7301,38.076532770048665,42.1,141.3166,392.8725,924.7183,0.15282124296664185,0.35970092078218757,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
江苏,2010,41425.48,52840.0,7869.34,,3.16,40.6482,46.5357311490416,52.5,335.4648,763.7532,4731.7348,0.07089678821391258,0.43923194037026625,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
