province,year,gdp_100m_rmb,per_capita_gdp_rmb,population_year_end_10k_persons,urbanization_rate_pct_2010,registered_unemployment_rate_pct,registered_unemployment_persons_10k,industry_share_gdp_pct,second_industry_share_gdp_pct,manufacturing_urban_unit_employment_10k,urban_unit_employment_10k,total_employment_10k,manufacturing_share_total_employment,manufacturing_share_urban_unit_employment
北京,2010,14113.58,75943.0,1961.9,86.0,1.37,7.7255,19.583904,24.0,100.5543,646.6348,1317.664,0.076313,0.155504
天津,2010,9224.46,72994.0,1299.29,,3.6,16.0983,47.816891,52.5,75.2956,205.6532,520.7844,0.144581,0.366129
河北,2010,20394.26,28668.0,7193.6,,3.86,35.1365,46.846662,52.5,119.6714,519.5833,3790.185500000001,0.031574,0.230322
山西,2010,9200.86,26283.0,3574.1145,,3.58,20.3868,50.625376,56.9,71.7355,394.4041,1665.0776,0.043082,0.181883
内蒙古,2010,11672.0,47347.0,2472.1786,,3.9,20.811,48.135709,54.6,37.2494,249.1914,1184.6755,0.031443,0.149481
辽宁,2010,18457.27,42355.0,4374.9,62.1,3.63,38.9317,47.619556,54.1,144.8232,518.1466,2238.0866,0.064708,0.279502
吉林,2010,8667.58,31599.0,2746.6021,,3.8,22.65,45.333415,52.0,60.7685,267.6249,1248.6706,0.048667,0.227066
黑龙江,2010,10368.6,27076.0,3833.4024,,4.27,36.2397,44.444477,50.2,66.7652,459.9946,1743.3898,0.038296,0.145143
上海,2010,17165.98,76074.49,2302.6608,,4.35,27.7301,38.076533,42.1,141.3166,392.8725,924.7183,0.152821,0.359701
江苏,2010,41425.48,52840.0,7869.34,,3.16,40.6482,46.535731,52.5,335.4648,763.7532,4731.7348,0.070897,0.439232
浙江,2010,27722.31,51711.0,5446.51,,3.2,31.1342,45.659182,51.6,351.6985,883.5917,3989.1771,0.088163,0.398033
安徽,2010,12359.33,20888.0,5956.7096,43.01,3.66,26.8631,43.751563,52.1,76.0144,372.9376,3846.7587,0.019761,0.203826
福建,2010,14737.12,40025.0,3693.0,57.09,3.77,14.4929,43.412214,51.0,241.2046,507.1395,2181.3249,0.110577,0.475618
江西,2010,9451.26,21253.0,4462.2489,44.06,3.31,26.2577,45.356492,54.2,71.5888,297.3995,2306.0899,0.031043,0.240716
山东,2010,39169.92,41106.0,9587.8641,,3.36,59.5139,48.152894,54.2,346.3537,956.202,5654.6728,0.061251,0.362218
河南,2010,23092.36,24446.0,9405.4697,,3.38,38.1571,51.752528,57.3,158.8235,751.6773,6041.5572,0.026289,0.211292
湖北,2010,15967.61,27906.0,5727.9143,,4.18,55.6542,42.126092,48.6,138.5297,510.2601,3116.5193,0.04445,0.271488
湖南,2010,16037.96,24719.0,6570.1,,4.16,43.2172,39.313666,45.8,106.2435,505.6991,4007.748,0.02651,0.210092
广东,2010,46013.06,44736.0,10440.9641,66.18,2.52,39.3029,46.644844,50.0,476.6581,1118.5213,5776.927100000001,0.082511,0.42615
广西,2010,9569.85,20219.0,4610.0,,3.66,19.0707,40.339817,47.1,62.5095,316.6764,2945.3376,0.021223,0.197392
海南,2010,2064.5,23831.0,868.5512,,3.0,4.7738,18.658755,27.7,8.0444,81.3129,445.7246,0.018048,0.098931
重庆,2010,7925.58,27596.0,2884.62,,3.9,13.0166,46.656901,55.0,62.4629,266.3578,1912.1319,0.032667,0.234507
四川,2010,17185.48,21182.0,8044.92,40.18,4.14,34.555,43.242609,50.5,124.2032,570.5848,4997.6065,0.024853,0.217677
贵州,2010,4602.16,13119.0,3478.9408,,3.64,12.1798,32.959958,39.1,36.942,224.3269,2402.1694,0.015379,0.164679
云南,2010,7224.18,15752.0,4601.6,35.2,4.21,15.6899,36.046582,44.6,58.8358,322.7731,2814.1065,0.020907,0.182282
西藏,2010,507.46,17319.0,300.7218,,3.99,2.0789,7.829189,32.3,0.7977,22.2116,175.0289,0.004558,0.035914
陕西,2010,10123.48,27133.0,3735.2267,,3.85,21.4206,45.033625,53.8,81.008,364.8056,1952.0264,0.041499,0.222058
甘肃,2010,4120.75,16113.0,2559.98,36.12,3.21,10.7224,38.897531,48.2,35.2602,194.2926,1431.8636,0.024625,0.18148
青海,2010,1350.43,24115.0,563.0,44.72,3.8,4.2424,45.441082,55.1,9.76,52.6042,294.1019,0.033186,0.185537
宁夏,2010,1689.65,26860.0,632.96,47.9,4.35,4.7551,38.058178,49.0,10.5891,59.3142,325.9848,0.032483,0.178526
新疆,2010,5437.47,25034.0,2185.11,,3.23,10.9874,39.74992,47.7,25.9793,254.9566,852.5923,0.030471,0.101897
