province,year,manufacturing_urban_unit_employment_10k,total_employment_10k,manufacturing_share_total_employment,urban_unit_employment_10k,manufacturing_share_urban_unit_employment,numerator_source,denominator_source,notes
北京,2010,100.5543,1317.664,0.07631255008864171,646.6348,0.15550400318696117,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
天津,2010,75.2956,520.7844,0.14458113568686004,205.6532,0.3661289977496095,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
河北,2010,119.6714,3790.1855000000005,0.03157402190473263,519.5833,0.23032187524117886,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
山西,2010,71.7355,1665.0776,0.04308237646101299,394.4041,0.18188325121366639,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
内蒙古,2010,37.2494,1184.6755,0.031442703086203776,249.1914,0.14948108161036056,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
辽宁,2010,144.8232,2238.0865999999996,0.06470848804510068,518.1466,0.2795023647747568,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
吉林,2010,60.7685,1248.6706,0.04866655785761274,267.6249,0.2270659419209498,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
黑龙江,2010,66.7652,1743.3898,0.03829619744247672,459.9946,0.14514344298824378,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
上海,2010,141.3166,924.7183,0.15282124296664185,392.8725,0.35970092078218757,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
江苏,2010,335.4648,4731.7348,0.07089678821391258,763.7532,0.43923194037026625,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
