province,year,manufacturing_urban_unit_employment_10k,total_employment_10k,manufacturing_share_total_employment,urban_unit_employment_10k,manufacturing_share_urban_unit_employment
北京,2010,100.5543,1317.664,0.076313,646.6348,0.155504
天津,2010,75.2956,520.7844,0.144581,205.6532,0.366129
河北,2010,119.6714,3790.185500000001,0.031574,519.5833,0.230322
山西,2010,71.7355,1665.0776,0.043082,394.4041,0.181883
内蒙古,2010,37.2494,1184.6755,0.031443,249.1914,0.149481
辽宁,2010,144.8232,2238.0866,0.064708,518.1466,0.279502
吉林,2010,60.7685,1248.6706,0.048667,267.6249,0.227066
黑龙江,2010,66.7652,1743.3898,0.038296,459.9946,0.145143
上海,2010,141.3166,924.7183,0.152821,392.8725,0.359701
江苏,2010,335.4648,4731.7348,0.070897,763.7532,0.439232
浙江,2010,351.6985,3989.1771,0.088163,883.5917,0.398033
安徽,2010,76.0144,3846.7587,0.019761,372.9376,0.203826
福建,2010,241.2046,2181.3249,0.110577,507.1395,0.475618
江西,2010,71.5888,2306.0899,0.031043,297.3995,0.240716
山东,2010,346.3537,5654.6728,0.061251,956.202,0.362218
河南,2010,158.8235,6041.5572,0.026289,751.6773,0.211292
湖北,2010,138.5297,3116.5193,0.04445,510.2601,0.271488
湖南,2010,106.2435,4007.748,0.02651,505.6991,0.210092
广东,2010,476.6581,5776.927100000001,0.082511,1118.5213,0.42615
广西,2010,62.5095,2945.3376,0.021223,316.6764,0.197392
海南,2010,8.0444,445.7246,0.018048,81.3129,0.098931
重庆,2010,62.4629,1912.1319,0.032667,266.3578,0.234507
四川,2010,124.2032,4997.6065,0.024853,570.5848,0.217677
贵州,2010,36.942,2402.1694,0.015379,224.3269,0.164679
云南,2010,58.8358,2814.1065,0.020907,322.7731,0.182282
西藏,2010,0.7977,175.0289,0.004558,22.2116,0.035914
陕西,2010,81.008,1952.0264,0.041499,364.8056,0.222058
甘肃,2010,35.2602,1431.8636,0.024625,194.2926,0.18148
青海,2010,9.76,294.1019,0.033186,52.6042,0.185537
宁夏,2010,10.5891,325.9848,0.032483,59.3142,0.178526
新疆,2010,25.9793,852.5923,0.030471,254.9566,0.101897
