province,year,urbanization_rate_pct_2010,urbanization_source_url,urbanization_source_title
北京,2010,86.0,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902059.html,北京市2010年第六次全国人口普查主要数据公报
广东,2010,66.18,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902062.html,广东省2010年第六次全国人口普查主要数据公报
安徽,2010,43.01,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902054.html,安徽省2010年第六次全国人口普查主要数据公报
甘肃,2010,36.12,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902076.html,甘肃省2010年第六次全国人口普查主要数据公报
福建,2010,57.09,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902060.html,福建省2010年第六次全国人口普查主要数据公报
辽宁,2010,62.1,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902074.html,辽宁省2010年第六次全国人口普查主要数据公报
云南,2010,35.2,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902075.html,云南省2010年第六次全国人口普查主要数据公报
四川,2010,40.18,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902070.html,四川省2010年第六次全国人口普查主要数据公报
青海,2010,44.72,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902077.html,青海省2010年第六次人口普查主要数据公报
宁夏,2010,47.9,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902078.html,宁夏回族自治区2010年第六次全国人口普查主要数据公报
江西,2010,44.06,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902061.html,江西省2010年第六次全国人口普查主要数据公报
